diagnostic_score,quiz_average,overall_mastery,total_study_hours,total_attempts,study_streak,final_exam_score
58.3,69.3,54.9,46.12,10,3,58.7
63.7,54.2,53.0,20.35,12,6,47.4
58.4,64.9,66.9,17.1,14,24,64.4
47.5,44.3,41.4,2.56,14,6,35.5
75.3,65.8,61.8,7.66,14,8,57.0
78.0,71.4,61.3,14.31,8,4,63.4
57.0,35.8,34.3,21.8,10,1,41.1
56.8,57.4,53.4,18.3,12,10,57.3
44.6,57.4,46.2,29.15,11,1,50.2
70.5,54.5,56.7,8.56,14,8,51.9
76.7,77.0,65.2,18.65,16,1,58.7
72.5,67.0,62.0,3.85,14,13,64.4
82.3,67.2,56.5,12.68,12,2,63.1
32.2,58.0,56.3,29.74,17,5,46.7
60.7,62.3,51.6,25.64,10,6,56.6
72.3,73.2,62.3,95.43,11,4,66.2
86.1,68.3,66.3,8.51,11,3,68.0
50.2,48.4,45.4,15.79,19,4,41.6
63.1,54.4,52.3,10.0,15,3,56.2
42.1,57.9,45.9,13.62,14,4,47.5
50.3,54.0,47.7,40.89,11,3,55.1
69.2,69.9,63.1,25.05,13,6,59.8
80.7,84.0,70.5,44.82,11,2,73.7
56.0,51.4,60.8,6.55,7,28,51.1
84.3,73.5,72.4,43.33,10,5,73.8
76.9,60.3,56.5,3.23,8,2,57.3
54.1,57.0,50.1,45.89,13,4,60.5
70.4,64.5,68.4,9.98,13,13,63.2
74.9,74.7,68.0,9.55,14,1,65.6
62.1,54.4,59.3,16.35,11,8,51.8
86.5,82.3,67.0,58.5,11,5,75.5
51.0,25.6,32.9,2.98,12,2,28.8
67.6,68.5,67.0,10.68,8,11,61.8
77.9,73.4,61.8,40.84,16,3,65.6
68.8,55.9,53.6,12.09,9,3,50.3
68.5,54.0,60.3,6.44,12,11,54.4
51.2,41.1,38.3,13.06,12,7,37.6
64.9,55.8,60.5,11.74,21,15,54.2
73.1,73.1,69.8,51.4,17,7,72.8
85.3,78.6,69.6,30.7,17,9,71.3
67.5,64.9,62.5,16.07,10,12,60.7
62.5,66.3,57.2,91.08,16,1,55.9
53.0,56.0,49.7,14.52,13,10,50.2
67.3,69.1,58.3,3.2,10,6,58.3
68.0,60.9,53.6,8.08,12,1,50.6
51.2,56.2,52.7,13.46,12,5,55.9
71.7,62.2,58.4,5.41,15,1,46.6
76.3,70.9,63.6,60.96,11,9,70.9
74.9,80.5,72.6,31.12,11,5,72.4
54.8,56.6,55.7,8.25,11,19,54.3
60.9,63.5,48.1,19.87,10,2,51.7
66.3,64.4,57.4,27.56,12,6,59.4
26.5,54.8,45.2,58.7,13,2,48.8
64.3,62.7,59.9,44.68,13,6,57.0
70.3,72.8,66.1,16.48,11,8,64.1
74.7,74.4,66.4,31.8,20,8,65.6
57.8,59.2,55.0,18.52,14,11,49.4
30.2,46.3,43.0,18.09,11,12,42.5
64.1,55.9,45.9,4.44,8,1,44.5
55.1,56.7,48.2,4.7,9,3,41.1
44.3,52.8,46.7,17.08,10,8,43.1
57.7,53.1,43.9,8.26,20,5,42.1
69.2,61.9,52.3,2.43,13,2,55.1
86.6,84.7,77.1,27.66,11,5,75.0
49.8,62.7,52.5,2.66,18,4,53.6
75.8,66.9,60.2,20.09,12,4,57.4
74.2,59.6,57.3,17.5,10,11,60.1
43.3,53.2,51.5,71.36,13,4,62.0
55.5,62.4,48.6,15.24,16,1,50.4
64.2,55.8,51.2,3.31,15,1,51.3
94.9,82.5,78.5,18.05,13,12,78.4
67.1,54.2,61.4,38.79,12,20,55.0
74.6,71.5,68.2,100.0,22,8,72.3
58.6,65.0,50.0,13.25,16,3,52.2
49.3,50.3,53.3,9.72,11,18,47.7
84.7,84.4,80.8,49.43,12,7,75.4
87.2,65.1,75.1,6.25,13,12,69.1
81.7,72.0,68.5,21.11,8,9,63.1
58.6,55.4,49.8,12.41,9,3,55.6
85.3,83.2,83.1,2.84,19,5,73.5
56.7,48.0,48.7,10.53,15,2,40.4
76.5,60.9,55.0,8.16,16,3,52.6
88.1,89.4,79.2,25.17,17,10,76.6
62.4,65.6,67.2,61.44,10,14,74.8
62.7,52.1,47.7,8.24,10,8,44.4
62.9,69.3,64.0,35.37,10,4,61.0
54.1,58.5,50.5,3.14,14,1,45.2
45.7,52.0,45.3,17.45,12,1,45.1
69.7,57.5,52.7,3.46,8,3,49.0
51.7,52.7,44.4,56.37,15,4,45.5
74.1,68.8,69.3,31.08,15,6,64.4
65.7,57.3,50.4,23.46,18,1,50.1
95.3,85.2,88.3,36.73,17,29,83.8
55.6,57.5,49.9,22.86,15,3,47.6
68.0,63.0,62.8,71.44,20,12,69.3
68.1,74.7,60.7,27.03,14,5,60.8
51.0,59.2,46.6,53.71,19,1,47.3
82.7,66.3,63.9,16.56,13,10,61.2
81.6,67.2,68.9,4.49,16,8,63.2
35.7,43.8,34.7,17.02,6,5,31.0
62.4,64.7,50.4,4.71,13,5,57.0
59.9,59.0,43.1,19.95,17,1,50.5
69.7,57.6,50.3,15.17,7,7,57.0
44.7,58.4,60.7,21.49,13,15,55.3
35.3,45.6,36.8,2.2,12,1,27.1
72.4,67.0,61.5,6.33,12,2,63.0
76.4,59.4,65.9,15.52,13,15,58.2
61.2,73.6,61.5,62.12,19,3,61.7
82.0,66.2,64.1,11.68,16,7,62.2
59.6,46.8,50.1,13.05,13,5,51.1
76.5,72.8,67.0,27.08,11,6,69.1
63.8,66.8,64.1,20.52,15,4,62.2
61.8,51.2,50.5,9.1,13,3,46.2
82.4,77.6,65.3,12.58,13,1,63.5
78.8,53.1,54.9,6.91,9,9,54.6
49.7,57.7,49.5,69.64,10,9,54.2
78.6,66.5,68.6,4.8,16,7,65.1
41.9,49.8,42.9,11.3,10,7,44.3
68.9,71.1,57.9,2.52,16,2,58.5
86.0,63.6,61.6,7.01,12,1,50.1
45.9,53.7,49.9,32.33,15,11,49.6
82.2,65.0,63.7,6.49,17,5,59.8
59.8,59.8,60.2,3.67,11,3,53.1
83.3,69.3,66.7,14.87,9,1,60.4
81.7,76.5,67.0,2.2,11,1,58.9
66.0,53.8,44.9,3.77,15,3,47.7
59.5,53.2,51.4,34.97,15,11,51.1
47.0,63.6,62.4,31.52,11,16,59.9
58.2,70.3,60.5,51.33,15,14,60.9
66.0,65.3,73.8,40.55,14,16,72.2
65.5,62.9,63.1,24.99,12,15,63.8
60.8,67.1,58.7,3.08,13,5,55.7
60.9,65.3,52.9,32.54,13,2,54.2
68.0,64.5,63.7,39.35,20,10,65.3
72.8,76.3,60.6,34.1,20,2,64.9
62.1,53.1,57.2,16.21,10,2,52.0
92.9,79.7,77.5,7.3,17,2,75.0
79.2,67.3,67.1,39.33,16,5,70.6
50.6,54.9,41.8,27.98,10,3,41.0
47.4,56.3,47.7,81.02,9,2,48.2
77.6,59.6,62.4,5.38,10,4,54.2
64.6,55.7,59.7,7.12,15,13,49.0
77.5,65.3,58.1,6.76,14,6,57.3
75.4,73.7,68.2,33.46,16,13,70.1
51.7,57.9,47.0,6.14,15,2,45.6
59.2,52.5,45.1,3.38,10,2,42.4
48.7,56.5,55.8,100.0,14,6,59.9
50.6,55.5,40.6,2.5,16,4,42.7
75.0,79.9,73.5,38.07,11,7,72.4
67.7,57.7,52.3,11.09,15,10,56.5
46.5,50.2,43.3,38.85,12,9,45.8
70.1,72.8,63.9,18.18,12,18,71.4
81.8,67.9,61.4,48.38,11,4,63.4
61.3,43.7,48.8,54.13,15,2,56.5
56.7,55.5,51.5,2.18,8,5,44.2
70.8,59.4,49.2,3.57,18,1,51.7
59.6,36.0,42.4,7.76,17,3,36.9
73.1,74.2,68.9,24.13,17,2,68.8
81.6,67.5,63.7,45.83,13,4,63.7
96.3,73.7,77.0,14.32,12,1,71.6
87.9,71.7,68.9,20.68,11,1,63.9
47.7,39.1,42.3,6.18,13,7,41.7
60.2,50.6,45.8,34.69,16,6,46.3
73.4,67.9,66.4,70.42,16,8,74.1
72.4,69.0,64.5,8.26,7,7,57.0
69.4,66.6,60.0,15.66,15,1,52.6
100.0,76.7,70.1,3.8,18,3,72.0
66.4,63.6,55.9,18.38,14,1,52.6
93.2,79.1,74.7,15.97,13,12,72.9
82.4,76.0,63.0,5.12,19,9,62.7
62.9,73.8,65.2,13.67,13,2,55.7
63.5,59.3,47.3,10.13,10,3,48.7
58.8,70.9,70.3,16.76,12,21,68.8
59.2,49.0,49.1,19.62,13,6,51.0
68.8,52.9,56.3,2.17,15,10,52.5
53.5,56.2,47.1,30.63,14,2,52.3
67.1,54.6,51.8,26.97,9,2,48.0
100.0,86.5,84.8,11.12,10,10,78.2
34.8,34.4,37.1,3.09,9,8,33.9
66.1,76.0,73.9,30.12,9,8,67.4
54.3,55.8,51.0,64.1,16,5,53.6
74.1,57.7,57.0,7.49,13,6,50.1
80.3,74.3,66.4,9.82,14,9,57.5
74.0,56.5,55.3,6.06,13,2,55.2
60.6,62.2,57.0,19.2,19,3,54.9
49.0,52.0,50.5,5.36,14,13,49.7
70.6,69.9,63.6,10.81,20,3,58.2
64.6,52.8,49.7,25.88,11,5,47.9
81.5,59.8,63.7,18.42,12,8,60.5
70.1,64.5,74.9,11.77,17,40,70.8
48.8,56.3,52.0,12.9,15,4,46.9
100.0,79.2,75.4,18.52,11,4,76.1
69.6,55.4,53.7,2.12,15,12,48.5
34.0,30.4,30.9,3.64,9,11,28.8
70.3,72.7,69.0,44.62,10,9,67.4
68.2,47.9,58.0,3.62,13,4,54.1
83.8,70.0,63.4,26.54,11,3,64.6
57.2,65.3,58.9,52.52,12,6,65.8
67.1,52.3,53.7,8.31,9,13,46.8
72.4,62.8,60.3,11.26,17,14,59.1
81.6,67.0,58.5,18.83,12,1,60.1
28.0,62.1,38.3,44.69,15,4,46.5
57.9,73.4,66.4,58.91,15,4,62.6
60.3,63.6,58.7,28.91,16,24,65.9
46.6,55.1,47.9,3.81,13,7,44.9
92.8,77.8,67.6,24.12,13,4,65.5
69.0,75.7,59.7,12.56,18,1,59.5
61.4,50.3,54.7,14.72,11,6,48.7
90.4,69.1,65.5,3.01,8,1,72.2
91.0,79.5,73.8,6.24,14,12,74.8
78.2,74.0,67.0,33.26,18,9,67.5
43.1,53.9,42.5,14.1,8,4,42.1
54.6,58.2,50.8,9.18,13,4,51.7
84.3,80.3,78.9,11.69,11,15,76.9
49.0,59.8,57.5,40.54,15,3,43.8
62.2,64.2,47.6,29.65,13,2,54.7
80.8,65.7,70.3,8.36,21,18,65.3
57.1,49.5,49.3,4.5,13,11,41.8
57.7,55.8,58.3,7.81,12,11,55.3
37.2,34.6,32.7,52.7,7,2,44.0
45.6,58.2,49.3,19.43,11,1,48.9
63.5,57.1,52.1,17.25,13,1,54.4
54.1,49.8,40.9,20.15,7,2,49.3
87.6,78.5,79.8,11.12,14,10,69.9
48.6,47.7,45.2,34.91,13,2,38.3
54.7,65.1,61.8,16.82,13,9,58.8
65.3,53.4,54.6,4.48,11,2,48.5
83.5,74.7,69.8,4.76,20,4,60.4
38.9,48.0,59.5,17.39,7,26,50.5
79.9,78.2,69.6,57.16,18,2,74.1
52.8,53.5,46.2,9.37,11,3,44.3
47.3,59.9,49.5,42.73,12,3,48.2
69.2,72.6,61.4,30.89,14,1,60.7
65.7,57.4,51.8,7.7,9,5,50.5
54.7,54.0,54.4,2.74,11,3,40.8
65.5,60.0,58.4,4.15,11,8,53.4
63.4,52.9,54.6,28.08,9,11,48.7
73.6,56.5,56.8,6.45,16,5,55.8
69.1,73.2,73.7,11.28,14,1,58.5
77.6,78.0,65.3,15.93,8,6,68.7
39.3,49.2,36.6,27.85,15,1,37.9
91.0,75.2,66.0,4.4,17,6,63.7
34.9,39.8,36.5,12.43,15,8,36.0
56.7,58.0,51.1,15.27,12,2,46.2
62.9,63.9,58.8,17.57,13,11,57.9
65.3,58.6,58.3,36.11,12,15,56.0
57.7,56.7,55.6,5.77,6,11,49.2
66.8,67.3,56.9,34.99,12,3,60.0
53.6,52.7,49.9,25.61,15,6,44.6
53.4,55.2,60.6,18.23,5,16,49.8
69.5,66.9,62.0,26.05,10,3,60.7
69.7,62.6,65.1,12.62,9,11,59.5
48.5,50.9,47.6,4.98,20,1,43.4
82.2,69.2,63.8,23.92,9,1,64.0
55.0,74.8,63.4,16.88,11,9,60.3
73.5,68.9,62.0,22.4,13,9,63.9
76.2,63.2,61.4,10.25,16,10,59.4
54.9,53.3,53.8,49.47,10,17,48.3
78.7,62.4,60.7,19.7,13,1,52.4
78.3,56.0,55.8,3.79,10,2,59.7
65.5,62.9,65.9,13.95,9,15,60.1
63.9,71.5,55.4,30.24,15,2,61.3
52.4,67.5,64.1,33.61,17,8,58.3
82.2,74.8,66.7,15.65,10,5,65.2
50.1,70.8,51.2,47.03,15,1,54.0
80.0,67.2,60.4,8.23,18,3,67.7
57.8,56.0,61.0,12.57,15,5,53.7
61.0,62.0,58.1,47.77,12,12,57.7
75.3,70.6,64.7,47.32,12,8,60.6
90.5,77.7,72.1,25.15,12,6,78.0
73.8,76.2,66.6,41.18,14,5,66.7
97.9,75.2,68.3,3.86,9,3,69.7
71.8,70.4,61.4,42.05,8,1,65.6
78.4,64.6,65.1,9.73,11,4,58.5
63.6,52.1,49.0,5.93,20,1,49.0
72.7,62.3,52.3,7.47,12,2,50.8
47.8,55.7,46.4,12.82,13,4,41.7
64.1,61.1,52.9,7.79,11,4,55.7
80.1,71.7,63.9,9.73,12,1,61.0
53.2,49.9,52.2,4.9,16,6,47.9
83.1,81.6,72.1,9.02,14,5,70.3
50.5,51.9,44.0,18.99,11,1,46.1
61.6,53.0,65.1,13.66,10,18,51.2
91.2,68.7,68.1,10.51,13,1,62.3
75.6,61.8,65.5,29.44,20,12,61.6
81.3,74.3,73.3,46.79,14,1,67.7
70.9,75.4,73.3,30.28,14,14,70.9
51.2,62.0,42.7,10.07,10,1,49.6
45.0,51.7,51.0,29.29,11,9,52.8
78.6,51.5,46.0,5.3,5,3,47.0
53.3,54.4,53.2,4.79,15,9,49.4
76.7,70.7,57.2,10.48,12,4,60.3
60.5,62.4,51.3,34.97,12,1,55.7
68.7,60.5,57.4,7.66,12,9,51.8
73.5,50.3,46.1,3.31,20,1,52.8
88.5,71.2,73.0,4.82,13,16,71.8
55.8,59.8,54.6,41.14,13,1,57.2
55.9,45.5,41.4,22.09,11,5,47.2
56.3,61.2,57.8,7.84,13,8,54.7
80.2,69.3,60.2,18.21,11,4,57.4
48.6,55.2,45.7,17.0,12,2,44.6
60.1,51.1,52.4,23.31,12,9,44.7
59.5,60.8,53.3,7.31,12,10,53.3
40.0,46.2,42.1,41.96,10,16,44.4
38.6,49.0,42.8,9.4,13,3,39.4
50.1,60.9,56.6,25.69,16,5,57.0
57.7,49.3,45.5,2.33,15,3,41.7
65.0,60.0,51.6,11.33,11,2,50.2
92.3,78.6,76.2,10.67,11,9,72.1
68.2,65.9,58.6,17.68,10,3,50.5
64.5,50.4,49.7,3.51,13,4,45.8
74.5,57.8,45.6,33.23,10,4,44.1
46.9,50.4,42.5,6.91,9,8,39.9
59.0,65.3,60.1,24.6,16,16,61.9
59.1,58.7,54.8,34.51,15,7,56.0
79.0,66.3,62.7,18.51,17,4,58.8
55.0,62.7,59.9,29.01,9,10,56.9
68.0,63.5,60.4,23.69,13,7,54.6
90.3,66.5,57.9,10.79,16,1,59.7
54.7,66.2,59.8,35.09,15,1,67.1
76.1,63.2,62.6,8.98,11,1,64.1
77.9,66.4,56.7,18.94,17,4,58.7
56.9,62.8,59.8,29.36,10,11,57.9
61.4,67.8,55.5,11.53,16,3,51.0
58.1,48.9,46.2,9.21,11,3,41.5
70.6,59.3,66.5,14.3,13,15,61.5
64.0,68.2,72.6,36.07,10,12,64.2
60.2,68.5,63.4,55.16,9,7,66.5
75.6,71.5,64.2,17.75,19,2,67.4
68.6,84.2,66.9,23.66,18,1,67.2
73.8,75.4,65.0,48.72,14,1,67.0
94.8,83.3,79.7,4.07,16,1,67.1
47.0,54.7,46.2,7.28,9,3,46.5
69.7,75.4,62.2,26.68,16,5,58.9
62.2,64.8,48.6,36.72,12,1,52.2
97.3,86.6,79.0,40.9,11,1,82.0
52.2,50.4,45.5,12.73,13,2,47.3
35.3,48.1,39.3,3.87,7,7,35.8
39.6,49.7,47.5,13.52,13,6,41.4
30.4,34.1,29.4,7.25,10,5,26.2
61.3,53.6,48.1,8.88,13,2,42.6
32.4,53.0,41.6,31.59,19,3,39.7
63.1,56.2,48.7,3.57,12,1,41.7
65.6,67.9,59.3,37.16,16,2,61.9
100.0,80.7,87.0,13.16,8,15,80.9
75.2,77.0,74.8,20.13,14,24,73.8
60.0,50.2,51.2,3.88,16,7,43.7
53.6,57.8,58.4,10.23,10,16,49.1
54.8,68.3,59.5,3.88,21,7,54.9
52.7,56.6,51.2,67.16,14,1,54.3
92.4,83.0,88.1,34.93,11,36,84.7
85.6,75.0,68.9,14.31,14,1,65.0
89.8,61.1,66.8,7.06,15,8,68.1
24.3,55.6,38.6,56.2,13,2,44.3
97.8,80.6,76.4,10.45,13,4,79.7
61.1,58.2,53.4,5.51,16,7,55.1
84.6,77.2,69.4,18.56,12,4,73.7
42.3,56.4,44.4,59.57,8,2,45.2
53.2,47.8,45.7,2.08,18,3,44.1
60.5,58.4,52.3,7.44,15,3,48.2
68.3,66.5,70.6,57.76,11,20,63.8
46.6,57.8,52.2,5.75,8,10,53.3
79.7,69.3,57.5,4.4,17,4,57.2
46.7,51.1,43.7,18.89,14,2,39.3
54.0,54.6,53.1,41.59,6,11,51.8
63.1,64.8,56.8,14.97,17,2,51.8
82.3,67.3,59.8,100.0,7,2,63.6
70.7,62.6,52.3,24.74,11,3,54.1
52.1,40.7,48.3,3.54,17,14,49.0
37.7,55.7,42.4,100.0,19,1,45.5
89.0,80.9,72.0,12.48,15,1,75.1
75.1,63.3,58.7,8.78,12,5,59.7
69.3,57.1,52.7,18.32,19,2,53.6
85.3,81.0,71.7,9.26,11,6,71.7
72.0,50.4,46.8,3.81,10,4,47.1
82.3,70.3,67.1,2.03,14,4,66.8
76.3,60.4,53.5,13.94,6,1,56.0
88.1,88.3,76.3,38.26,15,1,70.3
95.5,77.2,78.4,18.99,12,11,75.5
60.0,60.0,57.0,100.0,6,14,63.7
78.1,69.5,57.6,8.76,9,2,57.2
74.8,74.9,73.9,8.58,15,1,65.7
86.2,76.7,66.0,5.48,15,1,62.3
50.6,47.0,47.0,5.58,15,6,38.0
76.3,60.7,68.1,8.71,17,8,54.9
92.4,65.6,67.4,33.49,9,3,61.1
48.3,56.0,49.3,49.24,19,8,53.9
55.4,51.6,49.3,75.85,17,8,44.9
32.8,37.0,37.3,7.29,9,17,32.8
54.1,69.0,59.1,44.62,11,1,55.8
82.7,58.3,59.1,9.96,8,2,55.4
93.0,79.1,69.2,4.39,8,1,61.0
77.8,65.0,62.1,42.81,14,13,66.0
83.0,73.3,65.5,22.22,13,10,61.8
43.8,44.6,45.2,5.6,17,6,44.2
28.0,40.5,32.4,13.24,10,1,29.1
61.1,61.4,54.1,8.77,11,2,51.1
78.3,64.5,56.8,28.7,13,3,59.0
60.8,52.7,44.6,14.08,20,6,47.3
41.2,46.2,43.1,92.71,11,2,46.1
62.2,49.0,45.7,3.13,11,1,42.3
49.3,49.0,50.7,10.77,13,9,47.0
65.2,62.5,54.0,15.15,13,3,55.0
70.8,63.0,56.9,15.99,12,4,53.2
27.9,51.2,41.2,9.59,9,1,38.9
56.3,58.1,57.9,28.13,15,10,58.9
37.1,56.4,49.9,43.55,14,6,51.4
73.8,69.1,67.8,57.85,13,15,72.7
84.6,68.2,67.5,34.7,13,5,67.0
54.9,55.4,62.2,40.02,15,18,54.9
84.2,51.2,59.7,17.99,16,14,55.1
50.0,62.0,51.2,36.96,21,6,53.7
67.9,50.8,63.0,9.23,12,17,58.9
71.0,55.2,50.0,12.17,13,3,60.1
48.6,51.4,47.3,9.62,11,3,47.3
66.3,61.8,54.0,14.6,11,1,48.8
39.4,46.7,34.1,8.73,18,6,33.5
85.9,81.0,79.4,67.2,11,8,87.4
60.6,61.3,46.9,9.5,12,10,49.3
51.0,44.2,32.0,4.06,13,1,35.4
59.5,60.8,55.9,16.97,12,4,49.6
73.2,61.9,58.8,3.18,12,2,60.3
59.8,55.3,49.8,4.34,9,7,49.8
76.4,56.0,54.5,6.95,13,2,49.7
71.0,61.0,53.2,14.49,19,15,52.3
43.0,57.0,49.0,13.36,13,2,46.5
59.1,62.1,54.8,34.16,8,3,54.9
45.9,52.4,49.9,28.9,9,12,51.5
32.2,41.9,35.7,13.11,19,4,36.2
32.8,52.8,42.5,10.12,16,1,38.4
100.0,83.5,78.0,9.61,15,5,72.9
95.3,82.4,66.4,31.74,15,1,70.5
62.4,57.9,74.1,3.07,18,26,59.9
83.2,51.4,60.0,2.26,14,6,54.1
62.6,79.0,59.1,33.75,19,2,61.9
99.3,79.3,74.6,14.97,10,6,69.8
82.3,65.0,59.2,4.81,16,1,59.8
65.3,56.4,60.5,7.37,10,10,53.1
61.8,65.1,55.5,55.91,17,16,58.4
48.4,61.3,54.7,41.25,18,13,53.9
70.2,66.3,52.1,26.74,13,3,56.9
41.2,59.2,46.5,15.16,12,3,45.5
37.4,48.4,37.1,16.69,13,1,39.0
55.0,55.2,51.4,75.97,10,7,58.4
50.6,63.9,51.6,69.49,14,5,61.4
79.6,71.9,62.4,6.85,9,4,62.2
96.6,81.3,84.4,35.33,15,15,77.1
77.0,65.5,61.6,6.39,13,2,57.1
90.5,77.0,71.7,6.8,14,1,64.1
66.7,72.7,60.2,24.55,10,1,65.8
51.2,64.1,50.2,12.38,14,2,56.3
78.7,80.6,68.2,55.63,15,1,73.4
73.2,59.2,58.8,3.86,15,5,57.7
52.5,43.1,32.1,16.33,16,3,37.9
52.4,74.8,60.7,52.15,10,2,62.8
55.4,54.8,53.4,48.89,12,9,48.6
44.4,51.3,43.4,5.4,17,2,40.6
62.7,66.4,59.7,11.13,14,8,53.6
84.8,88.8,66.0,21.31,10,3,71.1
42.1,41.8,36.8,5.47,15,5,35.5
88.0,66.0,79.0,70.85,10,17,83.5
60.3,58.1,50.6,51.24,11,1,57.1
47.5,50.7,44.1,5.65,10,5,43.1
60.6,55.6,55.8,4.58,15,12,50.6
40.5,47.5,43.6,3.79,7,6,45.5
74.3,68.4,63.4,50.04,8,2,64.3
49.6,50.2,44.0,6.3,18,4,43.4
68.0,59.2,59.0,12.77,7,8,55.6
74.9,58.1,68.7,13.92,13,14,59.8
51.4,70.9,60.0,20.28,14,1,56.0
41.1,49.8,50.1,3.49,14,1,35.1
52.3,41.3,37.0,7.14,4,3,31.8
83.9,69.9,70.8,55.62,8,2,71.2
59.9,71.4,55.8,49.81,14,2,65.2
28.7,64.9,48.7,32.4,19,2,48.6
62.8,62.7,57.4,2.39,14,2,50.0
79.9,63.7,56.8,9.92,16,1,51.4
51.2,59.4,59.0,21.78,17,17,57.9
68.9,65.9,61.0,8.44,18,1,54.6
52.4,65.2,50.6,50.07,11,2,56.8
82.2,63.4,66.5,22.1,16,2,63.4
39.4,37.3,36.9,3.49,10,17,37.4
36.6,41.9,47.4,49.94,18,9,44.9
43.7,34.6,41.7,65.29,13,10,45.1
69.3,68.5,58.6,3.62,13,1,55.5
64.6,66.8,61.8,17.2,19,12,57.1
52.6,46.6,41.5,9.23,12,4,37.7
54.0,69.6,55.9,11.98,13,2,45.3
36.5,43.6,38.7,5.96,13,6,35.5
67.7,65.1,67.6,19.26,13,11,67.0
40.2,60.1,60.0,65.39,9,10,60.3
56.3,54.7,56.1,15.99,16,14,53.1
69.2,53.8,56.4,3.73,14,17,51.0
50.2,59.0,47.0,21.35,15,2,51.0
61.0,60.6,53.3,10.32,12,4,51.0
71.4,75.7,59.7,40.75,14,1,68.8
55.3,65.8,57.0,13.41,9,14,52.1
81.6,65.2,69.1,6.28,14,2,59.0
50.4,43.8,47.9,6.24,15,13,40.5
67.7,70.7,57.8,31.29,9,3,54.5
87.0,70.6,69.2,8.17,13,3,61.4
36.1,42.1,30.2,31.15,11,1,34.9
37.4,46.4,34.6,6.61,9,3,32.6
82.4,64.6,64.5,9.76,16,14,48.9
59.5,68.1,62.9,14.53,8,1,60.7
73.6,68.8,61.1,59.36,18,4,59.1
66.1,56.5,41.3,55.69,14,1,53.5
55.2,65.9,60.0,6.64,13,3,54.0
57.1,54.3,46.8,10.87,15,2,53.5
79.0,67.7,54.2,5.24,22,2,59.6
62.3,67.8,62.8,16.27,15,13,57.9
83.6,68.8,66.7,14.35,9,4,61.0
52.4,67.8,56.6,48.2,13,2,62.7
53.7,58.3,59.2,55.19,17,6,52.2
60.6,60.2,48.5,11.68,16,1,49.6
60.9,63.9,55.0,15.54,16,2,52.8
55.9,59.1,49.7,47.31,17,5,52.1
71.6,73.5,57.0,34.87,13,2,62.4
91.4,73.6,74.8,2.07,13,7,69.1
76.4,69.5,65.7,9.72,9,5,63.2
56.2,59.2,56.7,12.96,15,10,53.3
69.7,66.9,70.7,7.22,20,19,65.2
61.9,60.1,49.4,6.45,14,1,49.2
50.5,40.3,34.6,2.77,18,3,32.9
51.0,43.7,40.9,22.62,15,3,41.1
40.6,43.5,42.1,8.09,17,2,35.2
65.6,49.7,59.3,3.08,13,11,48.9
55.1,64.8,61.2,7.25,11,9,53.9
100.0,73.6,72.3,34.38,12,5,72.2
71.2,68.2,62.8,40.14,26,5,63.0
75.0,62.4,56.8,15.2,19,1,59.0
70.7,69.8,58.5,12.76,14,5,56.6
48.6,49.2,47.7,78.2,11,10,52.1
74.5,53.7,49.1,6.48,12,6,50.4
80.2,76.0,66.4,6.85,19,2,61.5
46.2,47.2,50.6,8.9,8,7,44.3
